Command: /home/users5/ec385912/ECE527LSP22/ece527l-lab10/fifo/sim/netlist_sim/./simv -l sim_netlist.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May  7 21:28 2022
Doing SDF annotation ...... Done
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
WR: 1, OE: 0 | DOUT: 00, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 01, EMPTY: 0, FULL: 1
WR: 1, OE: 0 | DOUT: 03, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 02, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 03, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 07, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 04, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 05, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 07, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 06, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 07, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 0f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 08, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 09, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 0b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 0a, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 0b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 0f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 0c, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 0d, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 0f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 0e, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 0f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 1f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 10, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 11, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 13, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 12, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 13, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 17, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 14, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 15, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 17, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 16, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 17, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 1f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 18, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 19, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 1b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 1a, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 1b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 1f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 1c, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 1d, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 1f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 1e, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 1f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 3f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 20, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 21, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 23, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 22, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 23, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 27, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 24, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 25, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 27, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 26, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 27, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 2f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 28, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 29, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 2b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 2a, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 2b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 2f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 2c, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 2d, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 2f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 2e, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 2f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 3f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 30, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 31, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 33, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 32, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 33, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 37, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 34, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 35, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 37, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 36, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 37, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 3f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 38, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 39, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 3b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 3a, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 3b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 3f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 3c, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 3d, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 3f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 3e, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 3f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 7f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 40, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 41, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 43, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 42, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 43, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 47, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 44, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 45, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 47, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 46, EMPTY: 0, FULL: 0
